place,lat,lon,rent,year,change,focus
Carlow,52.718975,-6.85037,602.51,2014,1.03,FALSE
Cavan,53.989719,-7.363332,436.75,2014,-0.04,FALSE
Clare,43.81947,-84.768628,510.59,2014,-0.26,FALSE
Cork City,51.896892,-8.486316,851.36,2014,2.05,TRUE
Donegal,54.654197,-8.110546,441.75,2014,-0.88,FALSE
"Letterkenny, Donegal",54.955839,-7.734279,469.96,2014,0.66,TRUE
Dublin,53.349805,-6.26031,1118.37,2014,5.38,TRUE
Galway City,53.270668,-9.056791,867.87,2014,1.86,TRUE
Kerry,52.154461,-9.566863,533.5,2014,1.37,FALSE
Kildare,53.162878,-6.908572,815.9,2014,5.16,FALSE
Kilkenny City,52.654145,-7.244788,615.18,2014,3.74,TRUE
Laois,52.994295,-7.332301,527.75,2014,3.12,FALSE
"Carrick-On-Shannon, Leitrim",53.945188,-8.085522,406.3,2014,2.85,TRUE
Limerick City,52.66802,-8.630498,628.6,2014,1.73,TRUE
Longford,39.169996,-97.331413,401.84,2014,1.40,FALSE
Louth,53.365962,-0.007711,631.4,2014,2.30,FALSE
Mayo,53.934581,-9.351646,506.43,2014,-0.13,FALSE
Meath,53.605548,-6.656417,702.43,2014,3.91,FALSE
Monaghan,54.249205,-6.968313,487.52,2014,0.35,FALSE
Offaly,53.235687,-7.712223,527.68,2014,0.91,FALSE
Roscommon,53.627591,-8.189096,454.61,2014,0.55,FALSE
Sligo,54.27661,-8.476089,583.82,2014,0.62,FALSE
Tipperary,52.473789,-8.161851,529.59,2014,0.74,FALSE
Waterford City,52.256667,-7.129167,541.55,2014,-1.04,TRUE
Westmeath,53.534531,-7.465322,539.26,2014,0.56,FALSE
Wexford,52.336916,-6.463338,544.39,2014,0.07,FALSE
Wicklow,52.980821,-6.044589,855.87,2014,4.38,FALSE
